source	target	freq
الايزديون	al-Īzadīyūn	1
نسومر	Nusūmar	1
الرسائيل	al-Rasāʼīl	1
نسوان	niswān	1
نسي	nasiya	1
نسكافيه	niskāfīh	1
نسقية	nasqīyah	1
نسقها	nassaqahā	1
نسيان	Nisyān	1
نسيجه	nasījihi	1
Fathallah	Fathallah	1
Fatima	Fatima	1
نسيجها	nasījuhā	1
نسيانات	Nisyānāt	1
Fatimah	Fatimah	1
نسيتها	nasiyatʹhā	1
النتاجات	al-Nitājāt	1
Fawwaz	Fawwaz	1
Fawzieh	Fawzieh	1
الرديكالي	al-radīkālī	1
Festschrift	Festschrift	1
Field	Field	1
نسخا	nusakhan	1
Fifth	Fifth	1
نسخته	nuskhatihi	1
نسج	nasaja	1
نستفد	nastafid	1
نستعين	nastaʻīn	1
نسترق	nastariq	1
نسختان	nuskhatān	1
نسختها	nuskhatihā	1
Felix	Felix	1
Femmes	Saudi	1
Feras	Feras	1
Ferhenga	Ferhenga	1
Fes	Fes	1
افتراضي	iftirāḍī	1
الورعين	al-wariʻīn	1
نسخن	nusakhin	1
Faisal	Faisal	1
نشاد	nashīd	1
نشات	Nishāt	1
نشاة	nashʼat	1
نشائتها	nashʼatuhā	1
نشاءته	nashāʼtihi	1
الرزاقي	al-Razzāqī	1
نشاء	nashaʼa	1
نشؤها	nushūʼihā	1
نشؤ	nushūʼ	1
الأجتماعي	al-ijtimāʻī	1
نشأثا	nashʼathā	1
Faiq	Faiq	1
الايسيسكو	al-Īsīskū	1
نسيمات	Nusaymāt	1
نشاطه	nashāṭihi	1
نشتهي	Nashtahī	1
نشبة	nashibat	1
الردّ	al-Radd	1
نشاعر	li-shāʻir	1
الرذائل	al-radhāʼil	1
نشاشبي	Nashāshībī	1
نشاطاته	nashāṭātahu	1
Fadle	Fadle	1
Fadwá	Fadwá	1
Fahad	Fahad	1
نشأتهما	nashʼatuhumā	1
Faith	Faith	1
الرس	al-Rass	1
Fariac	Fariac	1
Fascination	Fascination	1
الايزيدية	al-Īzīdīyah	1
نشآته	nashʼātihi	1
نسيوية	nisyawīyah	1
ميعادي	Mīʻādī	1
Fates	Fates	1
النتاف	al-Nutāf	1
Farhat	Farhat	1
الرزّاق	al-Razzāq	1
الرزيقي	al-Razīqī	1
الايزيديون	al-Īzīdīyūn	1
نشأته-فنونه-صفاته	nashʼatuhu-funūnuhu-ṣifatuhu	1
نشأته-حياته-شعره	nashʼatuh-ḥayātuh-shiʻruh	1
نشأته-تطوره	nashʼatuhu-taṭawwuruhu	1
Fakhrawi	Fakhrawi	1
Falah	Falah	1
الرزو	Razzū	1
الرحيق	al-Raḥīq	1
نصوصا	nuṣūṣan	1
نفاد	Nafād	1
الرحمات	al-raḥamāt	1
الايمانية	al-īmānīyah	1
الورجلاني	al-Warjalānī	1
نعارض	nuʻāriḍu	1
نظّمته	naẓẓamathu	1
Ebneroomi	Ebneroomi	1
Ebû	Ebû	1
نعاسك	nuʻāsik	1
Economic	Economic	1
نظمهما	naẓẓamahumā	1
الايني	al-Aynī	1
Economics	Economics	1
نعتذر	naʻtadhir	1
Ebn	Ebn	1
نعرفه	naʻrifuhu	1
نعرضها	naʻriḍuhā	1
نعرضه	naʻriḍuhu	1
نعرض	naʻriḍu	1
الورثيلانية	al-Warthīlānīyah	1
نعتته	naʻatathu	1
نعالج	tuʻāliju	1
نعتبر	naʻtabir	1
نعبره	naʻburuh	1
نعبد	naʻbudu	1
نعامي	Naʻāmī	1
نعالجها	nuʻālijuhā	1
Ed	Ed	1
نعش	Naʻsh	1
نظمتʹها	naẓẓamatʹhā	1
نظما	naẓmān	1
Editedb	Edited	1
الايماني	al-Īmānī	1
Eddin	Eddin	1
Edessa	Edessa	1
Edit	Edit	1
الرحمانى	al-Raḥmānī	1
نعساني	Naʻsānī	1
نعطي	nuʻṭá	1
Dʼal	Dʼal	1
Dāwūd	Dāwūd	1
الرجيح	al-rajīḥ	1
الرجيعي	al-Rujayʻī	1
الرجيم	al-rajīm	1
الرجيمة	al-rajīmah	1
DʼÉTAT	DʼÉTAT	1
البأف	al-baʼf	1
الرحابة	al-raḥābah	1
نعيلات	Naʻīlāt	1
نعيشه	naʻīshah	1
الرحابنة	al-Raḥābinah	1
الرحاحله	al-Raḥāḥlih	1
نعيري	Nuʻayrī	1
الرجيب	al-Rajīb	1
Düşünce	Düşünce	1
نعيد	nuʻīd	1
نفاخ	Naffākh	1
نفاتي	Naffātī	1
نفاتى	Naffātī	1
نفائسه	nafāʼisihi	1
Duraffourd	Duraffourd	1
Dzmata	Dzmata	1
الوراڭلي	al-Warāgilī	1
نغيم	Naʻīm	1
الرجي	al-Raḥbī	1
نغومي	Noʻomi	1
نغمات	Naghamāt	1
Débutants	Débutants	1
النجابة	al-najābah	1
الوراڴلي	al-Warāgilī	1
Développement	Développement	1
نعي	Naʻi	1
Ebdo	Ebdo	1
EU-Jordanian	EU-Jordanian	1
الأجانج	al-Ajānaj	1
نعمار	Niʻmār	1
Eastern	Eastern	1
الورثلانية	al-Warthilānīyah	1
نعل	naʻl	1
الرحبة	al-raḥbah	1
ELIE	ELIE	1
الاچرية	al-Azharīyah	1
E-Parliament	E-Parliament	1
E=M	E=M	1
الأجارة	al-ijārah	1
نعوته	nuʻūtihi	1
E=MC2	E=MC2	1
الرحالون	al-Raḥḥālūn	1
الرحامنة	al-Raḥāminah	1
الرحاوي	al-Raḥāwī	1
الورتي	al-Wartī	1
EDIDIT	EDIDIT	1
الرحبانية	al-Raḥbānīyah	1
الرحباوي	al-Raḥbāwī	1
نضارة	Naḍārat	1
نضاله	niḍālahu	1
نضالة	niḍālihi	1
Elham	Elham	1
Eliasʼ	Eliasʼ	1
الوردات	al-Wardāt	1
نصّور	Naṣṣūr	1
نصيه	naṣṣīyah	1
نصين	naṣṣayn	1
Eliho	Eliho	1
Elite	Elite	1
نطلب	Naṭlubu	1
نطقي	nuṭqī	1
نطقوا	naṭaqū	1
نطقت	naṭaqat	1
الايلي	al-Alāyilī	1
نطرة	Naẓrah	1
نطالب	nuṭālib	1
الايكولوجي	al-īkūlūjī	1
نطاقها	niṭāqahā	1
Electorale	Electorale	1
نضير	naḍīr	1
نضل	naḍillu	1
نضع	naḍaʻu	1
نضرية	Naẓarīyat	1
Elomari	Elomari	1
Editor	Editor	1
الرحمنبن	ibn	1
نصىر	Naṣīr	1
نصوم	nuṣūm	1
الأجتماع	al-ijtimāʻ	1
نصوغها	naṣūghuhā	1
نصوصهما	nuṣūṣahumā	1
Emunah	Emunah	1
Enacting	Enacting	1
الرحو	al-Raḥw	1
Enas	Enas	1
Emrani	Emrani	1
Elsobky	Elsobky	1
Emad	Emad	1
Emigration	Emigration	1
الايقان	al-īqān	1
نصيح	Naṣīḥ	1
نصيةّ	naṣṣīyah	1
Emirates-Abu	Emirates-Abu	1
نظائر	Naẓāʼir	1
نظارات	Naẓārāt	1
Efforts	Efforts	1
Egartā	Egartā	1
نظريا	naẓarīyan	1
نظري-تطبيقي	naẓarī-taṭbīqī	1
Effendy	Effendy	1
نظره	naẓrah	1
الايماء	al-Īmāʼ	1
Egyptian-Arabic	Egyptian-Arabic	1
Egyptien	Egyptien	1
Egyption	Egyption	1
Effects	Effects	1
Elddin	Elddin	1
نظرية-تقويمية	naẓrīyah-taqwīmīyah	1
نظلم	naẓlimu	1
نظريتين	naẓarīyatayn	1
نظريتي	Naẓarīyatī	1
نظريته	naẓarīyatuh	1
نظريتا	naẓarīyatā	1
Edvic	Edvic	1
Ef	Ef	1
Egyptِٰ	Egypt	1
نظراته	Naẓarātihi	1
El-Machreq	El-Machreq	1
نظاماً	niẓāman	1
نظاماى	niẓāmʹhā-yi	1
نظاماتها	niẓāmātihā	1
El-Hamad	El-Hamad	1
Ehmed	Ehmed	1
نظاري	Naẓārī	1
نظارتيك	naẓāratayk	1
El-Taweel	El-Taweel	1
نظامنا	Niẓāmunā	1
نظامه	niẓamihi	1
Eid	Eid	1
نظراؤه	nuẓarāʼuh	1
Ekklesia	Ekklesia	1
El-Aziz	El-Aziz	1
نظامين	niẓāmayn	1
نظامية-محاسبية	niẓāmīyah-muḥāsabīyah	1
Irān	Irān	1
Moustafa	Moustafa	1
Moujani	Moujani	1
الزللي	al-Zulalī	1
Mount	Mount	1
Mousa	Mousa	1
الزلماطي	al-Zalmāṭī	1
Mouʼatamid	Mouʼatamid	1
الزلزلة	al-Zalzalah	1
Moza	Moza	1
Mozaini	Mozaini	1
الزليتني	al-Zulaytinī	1
الزليج	al-zalīj	1
Moḥammad	Moḥammad	1
Motenabbi	Motenabbi	1
مناصره	Manāṣirah	1
مناضلا	munāḍilan	1
Moslemici	Moslemici	1
Mosque	Mosque	1
مناصفي	Manāṣifī	1
الزلام	al-zalām	1
Mosses	Mosses	1
الانسداد	al-insidād	1
النباهة	al-Nabāhah	1
مناصحة	munāṣaḥat	1
مناصب	Manāṣib	1
الانسنة	al-ansanah	1
مناسكه	manāsikuh	1
مناسككم	manāsikakum	1
الزلاقة	al-Zalāqah	1
مناء	Mināʼ	1
Mufid	Mufid	1
Mugali	Mugali	1
منابت	Manābit	1
مناب	manāb	1
الزمانان	al-Zamānān	1
الزمبليطة	al-Zambalīṭah	1
منابعها	manābiʻuhā	1
الزمخشرى	al-Zamakhsharī	1
منابيع	manābiʻ	1
الزما	al-zaman	1
الزمامرة	al-Zamāmirah	1
الزمامي	al-Zimāmī	1
Mraidi	Mraidi	1
Muammar	Muammar	1
اعيانها	aʻyānuhā	1
مناجاة	Munājāt	1
مناحل	Manāḥil	1
مناحج	manāhij	1
مناجيات	Munājīyāt	1
مناجرة	Manājirah	1
مناجات	Munājāt	1
مناضلات	Munāḍilāt	1
مناضلون	Munāḍilūn	1
Mugraby	Mugraby	1
مناقلة	Munāqalah	1
منالي	Manālī	1
Mokhtar	Mokhtar	1
مناكبها	manākibihā	1
مناكب	Manākib	1
مناقير	Manāqīr	1
مناقل	Manāqil	1
منامة	Manāmat	1
مناقضات	munāqiḍāt	1
مناقصات	Munāqāṣāt	1
مناقشتها	munāqashatuhā	1
Mokni	Mokni	1
Moktar	Moktar	1
الانسية	al-Insīyah	1
Mohmoud	Mohmoud	1
Moghîth	Moghîth	1
مناهضون	Munāhiḍūn	1
اغاريد	Aghārīd	1
الزقورة	al-Zaqqūrah	1
مناهجهم	manāhijuhum	1
الزقوزي	al-Zaqūzī	1
مناهجنا	manāhijinā	1
مناهجة	manāhijuh	1
Mohʼd	Mohʼd	1
Mois	Mois	1
Morality	Morality	1
النباهنة	al-Nabāhinah	1
Morgenländischen	Morgenländischen	1
الزكزكي	al-Zakzakī	1
Mosharafa	Mosharafa	1
Moral	Moral	1
مناطير	Manāṭīr	1
Mosleh	Mosleh	1
مناطرة	Munāẓarah	1
مناطحة	Munāṭaḥat	1
الانسي	al-Unsī	1
مناضلي	munāḍilī	1
مناعسة	Manāʻisah	1
Mondiale	Mondiale	1
منافع	manāfiʻ	1
الزكاني	al-Zakānī	1
الانسياق	al-Insiyāq	1
Mondialisation	Mondialisation	1
الزكة	al-zakāh	1
مناقاشات	Munāqāshāt	1
الزكراوي	al-Zakrāwī	1
منافعه	manāfiʻuhu	1
الزكري	al-Zikrī	1
منافسة	munāfasah	1
منافرة	Munāfarat	1
منافذها	manāfidhihā	1
منافذ	Manāfidh	1
Monsieur	Monsieur	1
Moon	Moon	1
الرهيمي	al-Ruhaymī	1
الوطنيين	al-waṭanīyīn	1
النباش	al-Nabbāsh	1
مليمتر	milīmitr	1
مليم	Millīm	1
Muttahhar	Muttahhar	1
مليكى	Milīká	1
الزناكي	al-Zanākī	1
الزنبقة	al-Zanbaqah	1
Mutasem	Mutasem	1
Muʼtah	Muʼtah	1
Muḥammad	Muḥammad	1
مليس	Malyas	1
مليون	Malyūn	1
Mutairi	Mutairi	1
Musulmane	Musulmane	1
ممارساته	mumārasātuh	1
مماحكات	Mumāḥakāt	1
Musulmans	Musulmans	1
Musée	Musée	1
ممأدب	lil-adab	1
ملکى	Malakī	1
الزنارية	al-Zunnārīyah	1
مليونيرا	milyūnīran	1
الزنابق	al-Zanābiq	1
ملوكا	mulūk	1
Mḥawyānā	Mḥawyānā	1
الزنجية	al-Zinjīyah	1
ملوى	Mallawī	1
ملولي	Mallūlī	1
NCOʼS	NCOʼS	1
ملى	Mullá	1
NOTICE	NOTICE	1
النباج	al-Nibāj	1
NR	NR	1
Naaman	Naaman	1
ملوية	Malwīyah	1
Mémorium	Mémorium	1
الانساري	al-Ansārī	1
مليحآبادى	Malīḥābādī	1
الزنجور	al-zanjūr	1
Mysteries	Mysteries	1
Médiation	Médiation	1
Médterranée	Méditerranée	1
مليتي	Malītī	1
مليبار	Malībār	1
مليء	malīʼ	1
النباحي	al-Nubāḥī	1
Mārí	Mārí	1
مليارديرات	milyārdīrāt	1
مليار	milyār	1
الزنابير	al-zanābīr	1
ممارستها	mumārasatihā	1
ممَّا	mimmā	1
الزمرد	al-zumrud	1
النباطي	al-Nubāṭī	1
الانسة	al-Ānisah	1
ممي	Mimmī	1
الزمزمية	al-Zamzamīyah	1
الزمكانية	al-Zamakānīyah	1
ممهدا	mumahhadan	1
الزمكشري	al-Zamakhsharī	1
Muhsin	Muhsin	1
ممنهجة	mumanhajah	1
Muhamad	Muhamad	1
Muhames	Muhames	1
الانسجة	al-ansijah	1
الانسجام	al-insijām	1
Muhammed	Muhammed	1
الزملاء	al-zumalāʼ	1
الزملكاني	al-Zamalkānī	1
الزمي	al-zaman	1
الزمها	alzamahā	1
ممدح	Mamdūḥ	1
ممثلة	mumaththalah	1
ممثل	mumaththil	1
ممتعة	mumtiʻah	1
الزميع	al-Zumayʻ	1
الانسانى	al-insānī	1
الزميلي	al-Zumaylī	1
Music	music	1
ممانعة	mumānaʻat	1
ممالک	mamālik	1
مماليك	Mamālīk	1
ممدوحي	Mamdūḥī	1
Mulḥaq	Mulḥaq	1
مملكتها	mamlakathā	1
مممقارنة	muqāranah	1
مملوكية	mamlūkīyah	1
Muosa	Muosa	1
Murjebi	Murjebi	1
ممكنات	Mumkināt	1
ممقاني	Mamaqānī	1
الزمناكويي	al-Zamnākūyī	1
ممزق	mumazzaq	1
مناهيجه	manāhijuh	1
الزقرد	Zuqrud	1
مناورات	Munāwarāt	1
منشآتها	munshaʼātuhā	1
منشآته	munshaʼātihi	1
الوضعيين	al-waḍʻīyīn	1
Maude	Maude	1
Maurice	Maurice	1
Maximes	Maximes	1
منسيات	mansīyāt	1
الزركان	al-Zarkān	1
الزركاني	al-Zirkānī	1
Mazmi	Mazmi	1
النبر	al-nabr	1
الانصري	al-Anṣārī	1
الأجنبى	al-ajnabī	1
Massoudy	Massoudy	1
Matbaʻat	Matbaʻat	1
Matthew	Matthew	1
منشئها	munshiʼahā	1
الزرقانى	al-Zurqānī	1
Matti	Matti	1
منشأه	munshiʼāhu	1
الوضل	al-waḍʻ	1
منشقون	Munshaqqūn	1
الوضيء	al-waḍīʼ	1
منزليني	Mazlīnī	1
منزلية	manzilīyah	1
Maïmonide	Maïmonide	1
منزلتين	manzilatayn	1
الوضي	al-waḍī	1
الوضية	al-waḍīyah	1
الوضوح	al-wuḍūḥ	1
Maʻrakat	Battle	1
الانشقاق	al-inshiqāq	1
Maḥmūd	Maḥmūd	1
منزا	Minzā	1
منر	Nimr	1
منذورة	mandhūrah	1
منزوعة	manzūʻat	1
الانصارى	al-Anṣārī	1
منسوق	mansūq	1
منسور	Manṣūr	1
منسوجة	mansūjah	1
منسك	Mansak	1
منسأة	Munshaʼat	1
منسقي	munassiqī	1
منسقا	munassiqā	1
Mazouni	Mazouni	1
منستحي	munistiḥī	1
Massignon	Massignon	1
منشوارت	Manshūrāt	1
مناورة	Munāwarah	1
الزرخوني	al-Zarkhūnī	1
Marrakchi	Marrakchi	1
الزراقة	al-Zāriqah	1
الزراكشة	al-Zarākishah	1
Marriot	Marriot	1
الزراية	al-zirāyah	1
Marwan	Marwan	1
Marxism	Marxism	1
الزردكاش	al-Zardkāsh	1
الزرزموني	al-Zarzamūnī	1
Maryland	Maryland	1
منصوص	manṣūṣ	1
منطقي	manṭiqī	1
منطقى	Muntaqá	1
Marlyn	Marlyn	1
MarocDroit	MarocDroit	1
الزراعيين	al-Zirāʻīyīn	1
Marocain	Marocain	1
Marocaine	Marocaine	1
منضود	manḍud	1
Maronite	Maronite	1
الزرافة	al-Zarāfah	1
الزراق	al-Razzāq	1
Marʼi	Marʼi	1
منصة	minaṣṣat	1
الزرق	al-zurq	1
Mason	Mason	1
Massawaïh	Massawaïh	1
Masscare	masscare	1
منشوراة	Manshūrāt	1
منشورا	manshūrā	1
Mascat	Mascat	1
الزرع	al-zarʻ	1
الانضباطي	al-inḍibāṭī	1
الانضباط	al-inḍibāṭ	1
منشوزات	Manshūrāt	1
Mashat	Mashat	1
منشوراته	manshūrātihi	1
منشوراتنا	manshūrātunā	1
Masiḥ	Masiḥ	1
منذه	mundhu	1
Maṭbaʻat	Maṭbaʻat	1
Maṭābiʻ	Maṭābiʻ	1
الزغندي	al-Zaghandī	1
منتصرة	muntaṣirah	1
Military	Military	1
منتصب	muntaṣib	1
منتشرة	muntashirah	1
منتسرات	Muntsirrāt	1
منتزع	Muntazaʻ	1
Milhem	Milhem	1
منتديات	muntadayāt	1
Millasá	Millasá	1
Mimra	Mimra	1
منتخبو	Muntakhibū	1
النباهى	al-Nubāhī	1
الزغيبي	Zughaybī	1
الزعيمان	al-Zaʻīmān	1
منتقيات	Muntaqayāt	1
منتقي	Muntaqá	1
الانشاد	al-Inshād	1
منتقديه	muntaqidīh	1
الزعيمة	al-Zaʻīmah	1
الزغباني	al-Zaghbānī	1
Mihemed	Mihemed	1
منتعلا	Muntaʻilān	1
منتظمة	muntaẓamah	1
الزغاريد	al-zaghārīd	1
الزغاوة	al-Zaghāwah	1
منتظرى	Muntaẓirī	1
Mineure	Mineure	1
Ministère	Ministère	1
منبثق	munbathiq	1
الزفيتي	al-Zufaytī	1
الزفير	al-Zafīr	1
Miʼat	Miʼat	1
Modern	Modern	1
منبجي	Manbijī	1
منباوي	Munabbāwī	1
الزفتية	al-ziftīyah	1
منايلي	Manāylī	1
Modernity	Modernity	1
مناوى	Munāwī	1
مناوشات	Munāwashāt	1
منبريه	minbarīyah	1
Mithāl	مثال	1
Misr	Misr	1
الزغير	al-Zughayr	1
Misurata	Misurata	1
الزغيدي	al-Zughaydī	1
منتحرة	muntaḥirah	1
منتحر	Muntaḥir	1
منتجة	muntijah	1
منتج	Muntij	1
الزفتاوي	al-Ziftāwī	1
منتار	Mantār	1
الزفاف	al-zafāf	1
منبهات	Munabbihāt	1
منتمي	muntamī	1
Michael	Michael	1
منخفض	Munkhafaḍ	1
الزعازع	al-zaʻāziʻ	1
مندعي	Mundaʻī	1
مندة	Mandah	1
منداد	Mandād	1
مندائية	Mandāʼīyah	1
الزعاطشة	al-Zaʻāṭishah	1
منخفضات	munkhafiḍāt	1
مندلبوم	Mandilbawm	1
منحها	manḥihā	1
منحنى	Munḥanā	1
منحتها	manaḥatʹhā	1
الوطري	al-Waṭarī	1
مندلين	Mandulīn	1
مندي	Mundī	1
McQuoid	McQuoid	1
الزريجي	al-Zurayjī	1
الوضيفي	al-Waḍīfī	1
الزط	al-Zuṭṭ	1
Me	Me	1
النبتيتي	al-Nabtītī	1
مندوية	Mandawayh	1
النبتة	al-nabtah	1
مندوس	Mandūs	1
Measuring	Measuring	1
الانشطار	al-inshiṭār	1
مندوب	mandūb	1
مندهشة	mundahishah	1
منحاز	Munḥāz	1
الزعلان	al-zaʻlān	1
الزعفرانية	al-Zaʻfarānīyah	1
منجز	Munjaz	1
الزعكري	al-Zaʻkarī	1
Melchizedek	Melchizedek	1
Memoire	Memoire	1
Memoirs	Memoirs	1
الزعنفة	al-Ziʻnifah	1
الزعيري	al-Zuʻayrī	1
Merchants	Merchants	1
Meridionalis	Meridionalis	1
منتهي	Muntahā	1
Mgr	Mgr	1
منجزاته	munjizātuh	1
منجزة	munjazah	1
منجزه	munjazuhu	1
الزعبلاوي	Zaʻbalāwī	1
اغبارية	Iʻbariyah	1
منجونه	Manjūnah	1
منجور	Manjūr	1
الزعران	al-Zaʻrān	1
الزعرور	al-zuʻrūr	1
Meknès	Meknès	1
منجلي	Manjlī	1
الزعزوع	al-Zaʻzūʻ	1
ملهي	Malhī	1
ملهى	malhá	1
ملهوفة	malhūfah	1
مكايوس	Makāriyūs	1
مكايل	Mikāyil	1
Orwell	Orwell	1
الزيادية	al-Ziyādīyah	1
مكاي	Makāy	1
الوعود	al-wuʻūd	1
Osfia	li-masīrat	1
مكبة	Makabat	1
مكانها	makānihā	1
مكانه	makānuh	1
مكانتهم	makānatahum	1
مكبلين	mukabbalīn	1
مكتباته	maktabātihi	1
Orient-Institut	Orient-Institut	1
Oriental	Oriental	1
الانجاه	al-Ittijāh	1
الزيادنة	al-Zayādnah	1
مكبوتة	makbūtah	1
Origins	Origins	1
مكةّ	Makkah	1
Orthography	Orthography	1
مكاسبها	makāsibihā	1
Ottoman	Ottoman	1
Ottomanis	Ottomanis	1
الزيتونه	al-Zaytūnah	1
مكافأة	mukāfaʼat	1
مكاري	Makārī	1
الزيتونية	al-Zaytūnah	1
Out	Out	1
مكادة	Makādah	1
الانجاب	al-anjāb	1
مكانةه	makānatuhu	1
Osirak	Osirak	1
الانجابي	al-injābī	1
Osman	Osman	1
مكانات	makānat	1
Osmanlı	Osmanlı	1
مكالمة	Mukālamah	1
اعندكم	Aʻindakum	1
الزيتاوي	al-Zaytāwī	1
Ossama	Ossama	1
Other	Other	1
مكحمية	malḥamīyah	1
الزومان	al-Zawmān	1
مكدوس	Makdūs	1
مكدامي	Makdamī	1
Ontology	Ontology	1
الزومي	al-Zūmī	1
مكدونيا	Makdūniyā	1
مكح̣ول	Makḥūl	1
مكثفة	mukathafah	1
الزويد	al-Zuwayd	1
Oops	Oops	1
مكتوبة	maktūbah	1
الزويري	al-Zuwayrī	1
مكدونلد	Makdūnald	1
مكر	Makr	1
مكتنزة	Muktanizah	1
الزوط	al-Zuṭ	1
الانجلوا	al-Anjilū	1
مكرياني	Mukiryānī	1
مكري	Mukrī	1
مكرى	mikrá	1
Omayades	Omayades	1
Omdurman	Omdurman	1
Ommayad	Ommayad	1
One	One	1
الزوفري	al-zawfarī	1
الزول	al-Zawl	1
مكرر	mukarrar	1
مكراد	Mikrād	1
النبا	al-Nabā	1
مكتملة	muktamilah	1
الزويني	al-Zuwaynī	1
الزويهري	al-Zuwayhirī	1
Oral	Oral	1
الزي	al-Zayy	1
Orfali	Orfali	1
Organized	Organized	1
الوعوة	al-daʻwah	1
مكتمل	muktamil	1
مكتبه	Maktabah	1
مكتشفة	muktashafah	1
مكتشف	muktashif	1
مكتة	Maktabat	1
مكتبۀ	Maktabah-ʼi	1
مكتبتي	maktabatay	1
مكتبتها	wa-Maktabatuhā	1
مكتبتا	Maktabatā	1
مكتبت	Maktabt	1
مكتبة-وراقة	Maktabat-Wirāqat	1
Oqba	Oqba	1
Outline	Outline	1
الزيتية	al-zaytīyah	1
مكاتبها	makātibihā	1
مقرنة	muqarnah	1
الانتهاك	al-intihāk	1
مقرى	Muqrī	1
مقرونة	maqrūnah	1
مقروئية	Maqrūʼīyat	1
Palestro	Palestro	1
الوفآء	al-Wafāʼ	1
مقرمي	Maqramī	1
الزيوان	al-Zīwān	1
Palm-Tree	Palm-Tree	1
مقرزي	Maqrīzī	1
مقررها	muqarriruhā	1
مقررة	Suhayr	1
Panorama	Panorama	1
Palestineʼs	Palestineʼs	1
مقررا	muqarrirā	1
Palce	Palce	1
مقصلة	miqṣalat	1
مقصدنة	muqaṣdanah	1
الزينبية	al-Zaynabīyah	1
Palestinean	Palestinean	1
مقص	miqaṣṣ	1
مقسومة	maqsūmat	1
مقسوم	maqsūm	1
مقرّب	Muqarrib	1
مقريوي	Maqrīzī	1
مقريني	Maqrīnī	1
الزينى	al-Zaynī	1
Pantomime	Pantomime	1
Paparazzi	Paparazzi	1
مقدمهʼ	muqaddamah-ʼi	1
مقدمتهي	muqaddimatihī	1
مقدمو	Muqaddimū	1
الانتلجنسيا	al-intilijinsiyā	1
اعماله	aʻmāluhu	1
Pardaysā	Pardaysā	1
مقدمهئ	muqaddamah-ʼi	1
الزيود	al-Zayyūd	1
مقرؤة	maqrūʼah	1
الزھد	al-zuhd	1
الزھراء	al-Zahrāʼ	1
مقرا	maqraʼ	1
مقدمي	Maqdimī	1
مقديشيو	Maqdīshyū	1
مقدي	Maqdī	1
مقدمۀ	muqaddimah-ʼi	1
الوغليسي	al-Waghlīsī	1
مقصودي	Maqṣūdī	1
PRONONCÉS	PRONONCÉS	1
مقول	maqūl	1
اعمل	aʻmal	1
النايل	al-nāyil	1
مقوضات	muqawwiḍāt	1
PA	PA	1
مقوشي	Maqūshī	1
مقهي	Maqhá	1
PAR	PAR	1
الزيديين	al-Zaydīyīn	1
مقهورات	maqhūrāt	1
الانثروبولوجي	al-anthrūbūlūjī	1
PROLEGOMENIS	PROLEGOMENIS	1
الانثروبولوجية	al-anthrūbūlūjīyah	1
مكاتبات	Mukātabāt	1
الزيجات	al-zījāt	1
مكابي	Makābī	1
مكابدات	mukābadāt	1
مقيم	Muqīm	1
مقيدة	muqayyadah	1
الزيدى	al-Zaydī	1
مقيد	Muqayyid	1
Ouvrage	Ouvrage	1
الزيداوي	al-Zaydāwī	1
الزيرجاوي	al-Zīrajāwī	1
الزيزاوي	al-Zīzāwī	1
مقنعا	muqannaʻā	1
الزيلعي	al-Zaylaʻī	1
النايض	al-Nāyiḍ	1
مقفله	muqfaluhū	1
الزيغان	al-zayghān	1
الزيلت	al-Zayyāt	1
الوغد	al-Waghd	1
مقطوعة	maqṭūʻah	1
مقطفات	Muqtaṭafāt	1
مقصورتة	Maqṣūratahu	1
مقلان	Maqlān	1
مقنطرات	muqanṭarāt	1
مقنص	Muqannaṣ	1
مقله	Muqlah	1
الزيزفونة	al-Zayzafūnah	1
PHILOSOPHIQUES	PHILOSOPHIQUES	1
PID	PID	1
PKK	PKK	1
PNAC	PNAC	1
مقلة	muqlat	1
مقلب	muqallib	1
الزورني	al-Zūranī	1
ملهمتي	mulhimatī	1
ملخصاً	Mulakhkhaṣan	1
Nation	Nation	1
الزهرات	al-Zaharāt	1
اعوان	Aʻwān	1
ملحوظة	malḥūẓah	1
ملحوس	malḥūs	1
ملزم	mulzim	1
Naoum	Naoum	1
Nakhla	Nakhla	1
ملغومة	malghūmah	1
ملعونة	malʻūnah	1
ملعون	malʻūn	1
ملعبة	malʻabah	1
Nara	Nara	1
Narratological	Narratological	1
اعوانى	Aʻvānī	1
ملصقات	Mulṣaqāt	1
Nasafī	Nasafī	1
Nashi	Nashi	1
الزهراوين	al-zahrāwayn	1
ملحمية	malḥamīyah	1
Nihad	Nihad	1
ملحقاته	mulḥaqātih	1
الزهرية	al-zahrīyah	1
ملحقا	mulḥaqan	1
Newsgathering	Newsgathering	1
ملحقاتها	mulḥaqātihā	1
الاندرپتي	al-Andaraptī	1
ملحدون	Mulḥidūn	1
ملحدة	Mulḥidah	1
الزهية	al-dhahabīyah	1
Nirvana	Nirvana	1
Nitzer	Nitzer	1
Nematallah	Nematallah	1
ملحمم	Milhim	1
ملحمته	malḥamatih	1
Natural	Natural	1
الاندلسيون	al-Andalusīyūn	1
Nazir	Nazir	1
ملحقٱ	mulḥaqan	1
الزهرا	al-Zahrā	1
Naked	Naked	1
مكسx	Max	1
ملكوي	Malkāwī	1
Nabris	Nabris	1
الزنكري	al-Zankarī	1
الوظائفية	al-waẓāʼifīyah	1
الزنكيون	al-Zankīyūn	1
الزنوج	al-zunūj	1
Nabil	Nabil	1
ملكولم	Malkūlm	1
ملكوتية	malakūtīyah	1
